Ntotal t1 t2 t3 t4 t5 winner prob_superior2 prob_superior3 prob_superior4 prob_superior5 prob_futile2 prob_futile3 prob_futile4 prob_futile5
260 48 32 49 34 97 4 0.366 0.55 0.414 0.996 0.634 0.45 0.586 0.004
200 37 24 38 48 53 4 0.124 0.168 0.644 0.998 0.876 0.832 0.356 0.002
320 58 73 38 68 83 4 0.634 0.428 0.64 0.996 0.366 0.572 0.36 0.004
410 82 48 38 76 166 0 0.006 0.008 0.096 0.968 0.994 0.992 0.904 0.032
50 15 5 13 4 13 4 0.494 0.346 0.266 0.998 0.506 0.654 0.734 0.002
80 13 16 11 12 28 4 0.772 0.99 0.942 0.998 0.228 0.01 0.058 0.002
290 59 33 53 70 75 4 0.164 0.682 0.91 0.994 0.836 0.318 0.09 0.006
230 44 13 67 31 75 4 0.136 0.67 0.332 1 0.864 0.33 0.668 0
200 38 32 29 43 58 4 0.916 0.416 0.936 0.994 0.084 0.584 0.064 0.006
80 18 16 11 16 19 4 0.58 0.62 0.52 1 0.42 0.38 0.48 0
50 11 8 10 9 12 4 0.838 0.782 0.998 1 0.162 0.218 0.002 0
80 21 12 16 11 20 4 0.944 0.958 0.43 1 0.056 0.042 0.57 0
80 13 12 21 20 14 4 0.672 0.914 0.84 0.998 0.328 0.086 0.16 0.002
80 10 16 21 15 18 4 0.908 0.434 0.682 0.998 0.092 0.566 0.318 0.002
110 26 14 16 18 36 4 0.192 0.236 0.374 0.992 0.808 0.764 0.626 0.008
230 47 20 27 15 121 4 0.088 0.346 0.118 0.996 0.912 0.654 0.882 0.004
80 12 11 14 25 18 4 0.846 0.68 0.9 1 0.154 0.32 0.1 0
170 31 26 22 54 37 4 0.716 0.494 0.912 0.996 0.284 0.506 0.088 0.004
170 37 38 20 20 55 4 0.474 0.298 0.048 0.998 0.526 0.702 0.952 0.002
410 76 44 45 61 184 4 0.018 0.062 0.068 0.992 0.982 0.938 0.932 0.008
50 5 8 11 14 12 4 0.738 0.894 0.99 0.994 0.262 0.106 0.01 0.006
80 18 10 10 14 28 4 0.976 0.698 0.614 0.996 0.024 0.302 0.386 0.004
80 11 17 18 16 18 4 0.562 0.816 0.79 1 0.438 0.184 0.21 0
110 31 16 23 10 30 4 0.674 0.916 0.004 0.994 0.326 0.084 0.996 0.006
200 48 18 47 44 43 4 0.288 0.832 0.828 0.996 0.712 0.168 0.172 0.004
110 18 24 24 15 29 4 0.42 0.934 0.276 0.994 0.58 0.066 0.724 0.006
110 27 11 22 22 28 4 0.116 0.342 0.482 1 0.884 0.658 0.518 0
80 14 15 14 20 17 -1 0.912 0.938 0.968 1 0.088 0.062 0.032 0
290 64 29 26 9 162 4 0.074 0.18 0.004 0.996 0.926 0.82 0.996 0.004
290 60 54 49 65 62 4 0.784 0.262 0.382 0.994 0.216 0.738 0.618 0.006
350 86 50 74 42 98 4 0.692 0.808 0.414 0.998 0.308 0.192 0.586 0.002
410 65 84 32 16 213 0 0.026 0.066 0.006 0.878 0.974 0.934 0.994 0.122
230 44 44 21 31 90 4 0.278 0.216 0.55 0.994 0.722 0.784 0.45 0.006
140 28 36 18 22 36 4 0.914 0.242 0.716 0.994 0.086 0.758 0.284 0.006
140 30 18 15 39 38 4 0.112 0.164 0.556 0.992 0.888 0.836 0.444 0.008
200 38 53 35 11 63 4 0.73 0.686 0.124 1 0.27 0.314 0.876 0
50 9 4 11 14 12 4 0.764 0.668 0.64 0.992 0.236 0.332 0.36 0.008
260 42 71 42 16 89 4 0.576 0.358 0.034 0.994 0.424 0.642 0.966 0.006
230 50 43 45 26 66 4 0.502 0.448 0.43 0.992 0.498 0.552 0.57 0.008
200 31 24 44 42 59 4 0.694 0.362 0.586 0.996 0.306 0.638 0.414 0.004
